ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
ASM93495__KY214448.1	KY214448.1_Lupine bocavirus	2017714	Lupine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY214448.1	Bocaparvovirus	unclassified Bocaparvovirus	KY214448.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASM93495	KY214448.1	ASM93495	ASM93495__KY214448.1_Species 14
AAA74973__U26342.1	U26342.1_Simian parvovirus	31598	Simian parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2	U26342.1	Erythroparvovirus	Primate erythroparvovirus 2	U26342.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2	AAA74973	U26342.1	AAA74973	AAA74973__U26342.1_Species 3
AGS15053__KF206158.1	KF206158.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206158.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206158.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15053	KF206158.1	AGS15053	AGS15053__KF206158.1_Species 12
ATX68205__MF444157.1	MF444157.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MF444157.1	Amdoparvovirus	Carnivore amdoparvovirus 1	MF444157.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ATX68205	MF444157.1	ATX68205,ATX68204	ATX68205__MF444157.1_Species 7
AIF74237__KJ641680.1	KJ641680.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641680.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641680.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74237	KJ641680.1	AIF74237	AIF74237__KJ641680.1_Species 14
ASM93497__KY214448.1	KY214448.1_Lupine bocavirus	2017714	Lupine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY214448.1	Bocaparvovirus	unclassified Bocaparvovirus	KY214448.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASM93497	KY214448.1	ASM93497	ASM93497__KY214448.1_Species 34
AGS15055__KF206158.1	KF206158.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206158.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206158.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15055	KF206158.1	AGS15055,AGS15056	AGS15055__KF206158.1_Species 31
AIF74238__KJ641680.1	KJ641680.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641680.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641680.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74238	KJ641680.1	AIF74238,AIF74235,AIF74239	AIF74238__KJ641680.1_Species 34
AEM37603__JN420364.1	JN420364.1_California sea lion bocavirus 1	1073959	California sea lion bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	JN420364.1	Bocaparvovirus	Pinniped bocaparvovirus 1	JN420364.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	AEM37603	JN420364.1	AEM37603,AEM37595,AEM37591,AEM37612,AEM37599,AEM37600,AEM37604,AEM37596,AEM37592	AEM37603__JN420364.1_Species 34
AHK27039__KF025418.1	KF025418.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025418.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025418.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27039	KF025418.1	AHK27039	AHK27039__KF025418.1_Species 31
AHK27053__KF025432.1	KF025432.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025432.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025432.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27053	KF025432.1	AHK27053	AHK27053__KF025432.1_Species 31
ASC49345__KY640432.1	KY640432.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640432.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640432.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49345	KY640432.1	ASC49345	ASC49345__KY640432.1_Species 30
AEM37605__JN420363.1	JN420363.1_California sea lion bocavirus 4	1073962	California sea lion bocavirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	JN420363.1	Bocaparvovirus	unclassified Bocaparvovirus	JN420363.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AEM37605	JN420363.1	AEM37605	AEM37605__JN420363.1_Species 34
ANY57893__KX272741.1	KX272741.1_Rat parvovirus 2	1885571	Rat parvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus	KX272741.1	unclassified Parvovirinae	Chapparvovirus	KX272741.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus	ANY57893	KX272741.1	ANY57893	ANY57893__KX272741.1_Species 11
AER30012__JF713714.1	JF713714.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	JF713714.1	Bocaparvovirus	Ungulate bocaparvovirus 5	JF713714.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AER30012	JF713714.1	AER30012,AER30013	AER30012__JF713714.1_Species 31
AGS15071__KF206162.1	KF206162.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206162.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206162.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15071	KF206162.1	AGS15071,AGS15072	AGS15071__KF206162.1_Species 31
	NewSeq	NewSeq_
AEM37606__JN420365.1	JN420365.1_California sea lion bocavirus 3	1073961	California sea lion bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	JN420365.1	Bocaparvovirus	Pinniped bocaparvovirus 2	JN420365.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	AEM37606	JN420365.1	AEM37606	AEM37606__JN420365.1_Species 14
AHK27055__KF025434.1	KF025434.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025434.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025434.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27055	KF025434.1	AHK27055	AHK27055__KF025434.1_Species 31
ABI16638__DQ813647.1	DQ813647.1_Adeno-associated virus 12	235458	Adeno-associated virus 12	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	DQ813647.1	Dependoparvovirus	Adeno-associated virus - 4	DQ813647.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	ABI16638	DQ813647.1	ABI16638	ABI16638__DQ813647.1_Species 46
AAC40693__AF036710.1	AF036710.1_Rat parvovirus 1	74581	Rat parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2	AF036710.1	Protoparvovirus	Rodent protoparvovirus 2	AF036710.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2	AAC40693	AF036710.1	AAC40693,AFV67813,AAC40694	AAC40693__AF036710.1_Species 8
ASC49360__KY640436.1	KY640436.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640436.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640436.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49360	KY640436.1	ASC49360,ASC49328,ASC49361,ASC49329	ASC49360__KY640436.1_Species 30
AGS15059__KF206159.1	KF206159.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206159.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206159.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15059	KF206159.1	AGS15059,AER30016,AHK27121,AGS15060,AHK27042,AHK27047,AHK27049,AHK27067	AGS15059__KF206159.1_Species 31
ATN39860__MF374982.1	MF374982.1_Human bocavirus	329641	Human bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF374982.1	Bocaparvovirus	unclassified Bocaparvovirus	MF374982.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATN39860	MF374982.1	ATN39860,ATN39856,ASS83766,ARS03589,AND46441,AND46437,AND46433,BAH22701,BAH22697,BAH22693,BAH22689,BAH22685,BAH22681,BAH22677,BAH22673,BAH22669,BAH22665,BAH22661,BAH22657,BAH22653,BAH22649,BAH22645,AOL02444,AOL02440,AKG93793,AKG93791,AKG93789,AKG93787,AKG93785,AKG93783,AKG93781,AKG93779,AKG93777,AKG93775,AKG93773,AKG93771,AKG93769,AKG93767,AKG93765,AKG93763,AKG93761,AKG93759,AKG93757,AKG93755,AKG93753,AKG93751,AKG93749,AKG93747,AKG93745,AKG93743,AKG93741,AKG93739,AKG93737,AKG93735,AKG93733,AKG93731,AKG93729,AKG93727,AKG93725,AKG93723,AKG93721,AKG93719,AKG93717,AKG93715,AKG93713,AKG93711,AKG93709,AKG93707,AKG93705,AKG93703,AKG93701,AKG93699,AKG93697,AKG93695,AKG93693,AKG93691,AKG93689,AKG93687,AKG93685,AKG93683,AKG93681,AKG93679,AKG93677,AKG93675,AKG93673,AKG93671,AKG93669,AKG93667,AKG93665,AKG93663,AKG93661,AKG93659,AKG93657,AKG93655,AKG93653,AKG93651,AKG93649,AKG93647,AKG93645,AKG93643,AKG93641,AKG93639,AKG93637,AKG93635,AKG93633,AKG93631,AKG93629,AKG93627,AKG93625,AKG93623,AKG93621,AKG93619,AKG93617,AKG93615,AKG93613,AKG93611,AKG93609,AKG93607,AKG93605,AKG93603,AKG93601,AKG93599,AKG93597,AKG93595,AKG93593,AKG93591,AKG93589,AKG93587,AKG93585,ABK32025,AJC68709,AKP16748,AKP16744,AKP16740,AKP16736,AKP16732,AKP16728,AKP16724,AKP16720,AKP16716,AKP16712,AKP16708,AKP16704,AKP16700,AKP16696,AKP16692,AJD85759,AIZ00500,AIZ00496,AIZ00492,AIZ00488,AIL23580,AIL23576,AID68257,AID68253,AID68249,AID68245,AID68239,AID68235,AID68231,AID68226,AID68222,AID68216,AID68212,ACN29633,AIC76459,AFX73333,AFX73331,AFX73329,AFX73327,AFX73325,AFX73323,AFX73321,AFX73319,AFX73317,AFX73315,AFX73313,AFX73311,AFX73309,AFX73307,AFX73305,AFX73303,AFX73301,AFX73299,AFX73297,AFX73295,AFX73293,AFX73291,AFX73289,AFX73287,AFX73285,AFX73283,AGL10841,AGL08708,AGL08706,AGL08704,AGL08702,AGL08700,AGL08698,AGL08696,AGL08694,AGL08692,AGL08690,AEY75578,AEY75574,AEY75570,AEY75566,AEY75562,AEY75558,AEY75554,AEY75550,AEY75546,AFU35706,AFU35702,AFU35698,AFU35694,AFU35690,AFU35686,AFU35682,AFU35678,AFU35674,AFU35670,AFU35666,AFU35662,AFU35658,AFU35654,AFU35650,AFU35645,AFU35642,AFU35638,AFU35634,AFU35630,AFU35626,AFU35622,AFU35618,AFU35614,AFU35610,AFU35606,AFU35602,AFU35596,AFU35595,AFU35594,AFU35593,AFU35592,AGC92296,AFY23247,AFY23243,AFY23239,AEW07386,AEW07382,AFR53043,AFC37601,YP_338088,AEY83560,AEY83558,AEY83556,AEY83554,AEY83552,AEY83550,AEY83548,AEY83546,AEY83544,AEY83542,AEY83540,AEY83538,AEY83536,AEX15207,AEX15203,AEX15199,AEX15195,AEX15191,AEX15187,AEX15183,BAL42428,AER93231,AER93227,AER93223,AER93219,ACP39933,ACP39928,AEO12105,ACV20863,ACV20859,AEA49946,AEA49945,AEA41860,AEA41856,AEA41852,AEA41848,ADV58355,ACS74766,ABJ74145,ABJ74144,ABJ74143,ABJ74142,ABG54327,ABF50818,ABF50816,ACX50495,ACL50978,ACV20889,ACV20888,ACV20887,ACV20886,ACV20885,ACV20884,ACV20883,ACV20882,ACV20881,ACV20880,ACV20879,ACV20878,ACV20877,ACV20876,ACV20875,ACV20874,ACV20873,ABN46904,ABN46900,ABN46896,ADB93929,ABK32086,ACY82521,ABR26354,ABR26350,ABR26346,ABR26342,ABR26338,ABR26334,ABR26330,ABR26326,ABR26322,ABR26318,ABR26314,ABR26310,ABR26306,ABR26302,ABR26298,ABR26294,ABR26290,ABR26286,ABR26282,ABR26278,ABR26274,ABR26270,ABR26266,ABR26262,ACX47177,ACX47173,ACX47169,AAY45702,AAY45698,ABK32029,ACG75870,ACG75866,ACG75862,ACG75858,ACG75854,ACG75850,ACG75846,ACG75842,ACG75838,ACG75834,ACG75830,ACG75826,ACG75822,ACG75818,ACG75814,BAH56356,BAH56360,BAH56364,BAH56368,BAH56372,BAH56376,BAH56380,ACM17826,ABX57869,ABX57865,ABQ57492,ABO32640,ABE73071,ABE73068,ABG77284,ABC67802,AQU14381,AQU14377,AGZ61939,ATN39861,ATN39857,ASS83767,ARS03590,AND46434,BAH22702,BAH22698,BAH22694,BAH22690,BAH22686,BAH22682,BAH22678,BAH22674,BAH22670,BAH22666,BAH22662,BAH22658,BAH22654,BAH22646,AOL02445,AOL02441,AKG93794,AKG93792,AKG93790,AKG93788,AKG93786,AKG93784,AKG93782,AKG93780,AKG93778,AKG93776,AKG93774,AKG93772,AKG93770,AKG93768,AKG93766,AKG93764,AKG93760,AKG93758,AKG93756,AKG93754,AKG93752,AKG93748,AKG93746,AKG93744,AKG93742,AKG93740,AKG93738,AKG93730,AKG93728,AKG93726,AKG93724,AKG93722,AKG93720,AKG93718,AKG93716,AKG93714,AKG93712,AKG93710,AKG93708,AKG93706,AKG93704,AKG93702,AKG93700,AKG93698,AKG93694,AKG93684,AKG93682,AKG93678,AKG93672,AKG93670,AKG93668,AKG93666,AKG93664,AKG93662,AKG93658,AKG93656,AKG93654,AKG93652,AKG93650,AKG93648,AKG93644,AKG93642,AKG93640,AKG93638,AKG93636,AKG93628,AKG93622,AKG93620,AKG93618,AKG93616,AKG93614,AKG93612,AKG93610,AKG93608,AKG93606,AKG93604,AKG93602,AKG93600,AKG93598,AKG93596,AKG93594,AKG93592,AKG93590,AKG93588,AKG93586,ABK32026,AJC68710,AKP16749,AKP16745,AKP16741,AKP16737,AKP16733,AKP16729,AKP16725,AKP16721,AKP16717,AKP16713,AKP16709,AKP16705,AKP16701,AKP16697,AKP16693,AJD85760,AIZ00501,AIZ00497,AIZ00493,AIZ00489,AIL23581,AIL23577,AID68258,AID68254,AID68250,AID68246,AID68242,AID68240,AID68236,AID68232,AID68227,AID68223,AID68217,AID68213,ACN29634,AIC76460,AFX73334,AFX73332,AFX73330,AFX73328,AFX73326,AFX73324,AFX73322,AFX73320,AFX73318,AFX73314,AFX73310,AFX73308,AFX73306,AFX73304,AFX73300,AFX73298,AFX73296,AFX73294,AFX73292,AFX73290,AFX73288,AFX73286,AFX73284,AGL10842,AGL08709,AGL08707,AGL08705,AGL08703,AGL08701,AGL08699,AGL08697,AGL08695,AGL08693,AGL08691,AEY75579,AEY75575,AEY75571,AEY75567,AEY75563,AEY75559,AEY75555,AEY75551,AEY75547,AFU35707,AFU35703,AFU35699,AFU35695,AFU35691,AFU35687,AFU35683,AFU35679,AFU35675,AFU35671,AFU35667,AFU35663,AFU35659,AFU35655,AFU35651,AFU35646,AFU35643,AFU35639,AFU35635,AFU35631,AFU35627,AFU35623,AFU35619,AFU35615,AFU35611,AFU35607,AFU35603,AFY23244,AFY23240,AEW07387,AEW07383,AFR53044,AFC37604,YP_338089,AFE88887,AEY83561,AEY83559,AEY83557,AEY83555,AEY83553,AEY83551,AEY83549,AEY83547,AEY83545,AEY83543,AEY83541,AEY83537,AEX15208,AEX15204,AEX15200,AEX15196,AEX15192,AEX15188,AEX15184,BAL42429,AER93232,AER93228,AER93224,AER93220,ACP39932,ACP39929,AEO12106,ACV20864,ACV20860,AEA41861,AEA41857,AEA41853,AEA41849,ADV58356,ACX50496,ACL50979,ABN46905,ABN46901,ABN46897,ACY82522,ABR26355,ABR26351,ABR26347,ABR26343,ABR26339,ABR26335,ABR26331,ABR26327,ABR26323,ABR26319,ABR26315,ABR26311,ABR26307,ABR26303,ABR26295,ABR26291,ABR26287,ABR26283,ABR26279,ABR26271,ABR26267,ABR26263,ACX47178,ACX47174,AAY45703,AAY45699,ABK32030,ACG75871,ACG75867,ACG75863,ACG75859,ACG75855,ACG75851,ACG75847,ACG75843,ACG75839,ACG75835,ACG75831,ACG75827,ACG75823,ACG75819,ACG75815,BAH56357,BAH56361,BAH56365,BAH56369,BAH56373,BAH56377,BAH56381,ACM17827,ABW70788,ABZ91970,ABX57870,ABX57866,ABO32641,ABE73069,ABC67803,AQU14382,AQU14378,AFU35599,AFU35598,ASS83771,ABS19598,ABS19597,ABS19596,ABS19595,ABS19594,ABS19593,ABS19592,ABS19591,ABS19590,ABS19589,ABS19588,ABS19587,ABS19586,ABS19585,ABS19584,ABS19583,ABS19582,AFU35591,AFU35590,ADN96001,ADD62426,ADD62425,ADD62424,ADD62423,ADD62422,ADD62421,ADD62420,ADD62419	ATN39860__MF374982.1_Species 33
ASC49348__KY640433.1	KY640433.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640433.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640433.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49348	KY640433.1	ASC49348,ASC49344,ASC49304,ASC49316,ASC49365,ASC49349,ASC49305	ASC49348__KY640433.1_Species 30
AEM37608__JN420365.1	JN420365.1_California sea lion bocavirus 3	1073961	California sea lion bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	JN420365.1	Bocaparvovirus	Pinniped bocaparvovirus 2	JN420365.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	AEM37608	JN420365.1	AEM37608,AEM37609	AEM37608__JN420365.1_Species 34
ABI16639__DQ813647.1	DQ813647.1_Adeno-associated virus 12	235458	Adeno-associated virus 12	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	DQ813647.1	Dependoparvovirus	Adeno-associated virus - 4	DQ813647.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	ABI16639	DQ813647.1	ABI16639	ABI16639__DQ813647.1_Species 20
APV46193__KX228695.1	KX228695.1_Feline bocavirus	1174530	Feline bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	KX228695.1	Bocaparvovirus	Carnivore bocaparvovirus 3	KX228695.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	APV46193	KX228695.1	APV46193,AKI88073,AII82254,YP_006272944,AFH96880,AFH96876,AFH96872	APV46193__KX228695.1_Species 14
Q89268__undef	undef_Adeno-associated virus 2 Srivastava/1982	648242	Adeno-associated virus 2 Srivastava/1982	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 2	undef	Dependoparvovirus	Adeno-associated virus - 2	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 2	Q89268	undef	Q89268,SGZ41872,SCV75353,SCV75186,YP_680423,CAX48898,CCE46057,AAU05367,AAU05365,AAU05363,AAU05361,AAU05359,AAC03775,AAA42374,CBF14054,CAY32649,CAT03376,CAC39573,P03132,AAA42372,ASW20945,Q89270,SGZ41871,YP_680425,CAX48897,AAC03777,AAA42375,CBF14052,ASW20944,Q89269,YP_680424,AAC03776,AAA42373	Q89268__undef_Species 46
APV46195__KX228695.1	KX228695.1_Feline bocavirus	1174530	Feline bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	KX228695.1	Bocaparvovirus	Carnivore bocaparvovirus 3	KX228695.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	APV46195	KX228695.1	APV46195,AII82256,YP_006272946,AFH96882,AFH96878,AFH96874,AII82257,YP_006272947,AFH96883,AFH96879,AFH96875	APV46195__KX228695.1_Species 34
BAA00502__D00623.1	D00623.1_Porcine parvovirus	10796	Porcine parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	D00623.1	Protoparvovirus	Ungulate protoparvovirus 1	D00623.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	BAA00502	D00623.1	BAA00502,ANW48428,AHW51110,P52501,P33484,P18546,ASA47654,ANZ52452,NP_757371,ADO22682,AIW62937,AHW51115,AHB30934,AHF27788,AHF27782,AHF27776,AHF27770,AHF27764,AHF27758,AHF27752,AGZ94858,AGZ94853,AGZ94848,AGZ94842,AGO98942,AGO98941,AGO98940,AGO98939,AGJ73892,AGJ73890,AGJ73888,AGJ73886,AGK90260,AFR43265,AFG33325,AFG33323,AFG33321,AFG33319,AFG33317,AFG33315,AFG33313,AFG33311,AFG33309,AFG33307,AFG33305,AFG33303,AFG33301,AFG33299,AFG33297,AAV92678,AAA46917,AFB74133,AEZ57106,AEL21978,AEL21976,AEL21971,AEL21966,AEL21961,ADN94637,ADN94631,ADN94626,ADN94619,ADN94616,ADN94609,ADN94606,ADN94599,ADN94596,ADN94591,ADN94586,ADN94581,AAC40230,AAA46919,ACF39505,AAQ90280,ABG78612,AAV92671,ACF39500,ACO53209,AAS93263,ABM88939,AAV92684,AAV92676,AAV92669,AAV92667,AAV92665,AAV92660,AAV92658,AFV25461,AFV25459,AFV25457,AFV25455,AFV25453,AFK84434,AFK84433,AAV66585,AAV52587,AAV52586,AAV52584	BAA00502__D00623.1_Species 19
AHK27059__KF025438.1	KF025438.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025438.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025438.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27059	KF025438.1	AHK27059	AHK27059__KF025438.1_Species 31
ATE46010__KY605380.1	KY605380.1_Porcine parvovirus 5	1241957	Porcine parvovirus 5	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KY605380.1	Protoparvovirus	unclassified Protoparvovirus	KY605380.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	ATE46010	KY605380.1	ATE46010,AOT82271,ANM72090,ANM72088,ANM72086,ANM72084,YP_008888533,AFU93187,AFU93185,AFU93183,AFU93181,AFU93179,ANO39505,AHB59730	ATE46010__KY605380.1_Species 36
AGS15077__KF206164.1	KF206164.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206164.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206164.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15077	KF206164.1	AGS15077	AGS15077__KF206164.1_Species 12
YP_004869643__JF429834	JF429834_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	JF429834	Bocaparvovirus	Ungulate bocaparvovirus 5	JF429834_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	YP_004869643	JF429834	YP_004869643,AEO37419,YP_004869644,AEO37420,AHK27060	YP_004869643__JF429834_Species 31
AMH38322__KT716512.1	KT716512.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT716512.1	Bocaparvovirus	unclassified Bocaparvovirus	KT716512.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AMH38322	KT716512.1	AMH38322	AMH38322__KT716512.1_Species 31
